fold,coin,entry_time,exit_time,entry,exit,pnl,reason
2,SUI,2023-10-29 01:00:00+00:00,2023-10-29 01:00:00+00:00,0.4603215579964917,0.45186798656792027,-3.1143511094642804,SL_TIGHT
3,SOL,2023-11-13 01:00:00+00:00,2023-11-13 12:00:00+00:00,57.66765448530766,56.225468771021944,-3.0359483607529736,SL_TIGHT
4,SOL,2024-01-09 13:00:00+00:00,2024-01-09 20:00:00+00:00,98.98773022860917,96.64181594289488,-2.993631761663169,SL_TIGHT
4,SOL,2024-01-11 19:00:00+00:00,2024-01-12 01:00:00+00:00,101.40169119419832,98.96018405134117,-2.9460715255000762,SL_TIGHT
4,NEAR,2024-02-11 23:00:00+00:00,2024-02-12 01:00:00+00:00,3.139773047507627,3.2491444760790555,6.75157661110737,TP_FULL
4,SOL,2024-02-19 09:00:00+00:00,2024-02-19 10:00:00+00:00,112.03512573666859,110.9771114509543,-3.136360955648346,SL_TIGHT
5,SOL,2024-03-08 06:00:00+00:00,2024-03-08 11:00:00+00:00,143.78904013253512,148.67492584682083,6.877921331750094,TP_FULL
5,NEAR,2024-03-10 02:00:00+00:00,2024-03-10 09:00:00+00:00,6.060966671972914,5.950138100544343,-3.089974361523446,SL_TIGHT
5,NEAR,2024-03-13 15:00:00+00:00,2024-03-14 03:00:00+00:00,7.869047830711518,7.678633544997233,-3.014448130920796,SL_TIGHT
5,NEAR,2024-03-27 00:00:00+00:00,2024-03-27 03:00:00+00:00,7.732397698634747,7.561011984349033,-2.975577919982166,SL_TIGHT
5,NEAR,2024-04-05 06:00:00+00:00,2024-04-05 08:00:00+00:00,6.757456250285908,6.616799107428765,-2.935349440080917,SL_TIGHT
5,NEAR,2024-04-21 15:00:00+00:00,2024-04-21 16:00:00+00:00,6.197264771050901,6.115621913908044,-2.9443722198433107,SL_TIGHT
6,SOL,2024-05-16 18:00:00+00:00,2024-05-16 22:00:00+00:00,159.6219176604603,157.39911051760316,-2.889970283913964,SL_TIGHT
6,SOL,2024-05-18 18:00:00+00:00,2024-05-19 05:00:00+00:00,171.7372664069682,175.20918069268248,6.391063217685139,TP_FULL
6,SOL,2024-06-12 21:00:00+00:00,2024-06-13 02:00:00+00:00,154.73192294011128,152.11645865439698,-2.920294556421737,SL_TIGHT
6,SOL,2024-06-17 04:00:00+00:00,2024-06-17 06:00:00+00:00,147.88047800029915,146.59849228601342,-2.983253844790422,SL_TIGHT
6,SOL,2024-06-28 08:00:00+00:00,2024-06-28 12:00:00+00:00,145.75704894827962,144.16160609113678,-2.889280208962543,SL_TIGHT
7,SUI,2024-08-11 06:00:00+00:00,2024-08-11 08:00:00+00:00,0.9013564998066019,0.8837550712351734,-2.7680668492594007,SL_TIGHT
7,NEAR,2024-08-20 22:00:00+00:00,2024-08-20 23:00:00+00:00,4.038685609690996,3.9947784668338535,-2.800142352185312,SL_TIGHT
7,NEAR,2024-08-25 05:00:00+00:00,2024-08-25 07:00:00+00:00,4.961113258143296,4.864877543857582,-2.682170179435397,SL_TIGHT
8,SOL,2024-09-22 02:00:00+00:00,2024-09-22 06:00:00+00:00,147.77943221512672,146.75098935798385,-2.8048614875246742,SL_TIGHT
8,NEAR,2024-09-25 14:00:00+00:00,2024-09-25 17:00:00+00:00,5.2527723994432485,5.1791652565861055,-2.631652524602121,SL_TIGHT
8,NEAR,2024-09-27 04:00:00+00:00,2024-09-27 06:00:00+00:00,5.533971433236676,5.7302428618081045,5.911354757643992,TP_FULL
8,ETH,2024-10-15 12:00:00+00:00,2024-10-15 12:00:00+00:00,2602.3022371004677,2584.965665671896,-2.8241719305917776,SL_TIGHT
8,SUI,2024-10-30 14:00:00+00:00,2024-10-30 15:00:00+00:00,2.027718718013716,1.9938272894422875,-2.618537863908751,SL_TIGHT
8,ETH,2024-10-31 03:00:00+00:00,2024-10-31 06:00:00+00:00,2664.541937238922,2640.5209372389218,-2.6661023481607793,SL_TIGHT
