trade_id,entry_idx,exit_idx,side,entry,exit,exit_reason,pnl,r_multiple,equity_after,prob
1,67987,68000,SHORT,91566.69081093749,91785.8203125,TIME_DECAY_SL,-20.477419338783065,-0.3199151858913735,9979.522580661216,0.669973629277745
2,68075,68090,SHORT,91452.14341250001,91780.0,TIME_DECAY_SL,-27.432353900554798,-0.4339719755359457,9952.090226760662,0.6644819423490089
3,68125,68131,SHORT,90099.97640000001,91186.78255234376,SL,-64.38466374354334,-1.0,9887.705563017118,0.669805411358512
4,68186,68191,SHORT,91739.86710624999,90868.33836874062,SL,47.51477640891819,0.8181818181818183,9935.220339426036,0.623588997240005
5,68443,68451,SHORT,86314.01499375,87133.99813619062,SL,-64.92755678546987,-1.0,9870.292782640567,0.6807673148858893
6,68516,68532,SHORT,86919.472003125,85820.92157994791,DECAY_TP,69.73647214236065,1.052458034165027,9940.029254782927,0.6929751689726245
7,68541,68550,SHORT,86182.7365671875,85978.05256784044,SL,14.164541688064938,0.13636363636362875,9954.193796470992,0.9369111216955228
8,68556,68561,SHORT,86870.21623125,87812.6132649414,SL,-86.48029095309887,-1.0,9867.713505517893,0.8237704475749412
9,68582,68595,SHORT,88826.6139359375,87653.42409534888,DECAY_TP,68.8572077140982,1.1729797979798064,9936.570713231991,0.6307229419867602
10,68604,68622,SHORT,88115.701459375,87236.74733731773,DECAY_TP,63.918805715925615,0.8636363636363634,10000.489518947918,0.7473726070004925
11,68630,68646,SHORT,87215.22534062501,86184.14756548696,DECAY_TP,83.14027190271008,1.040404040404032,10083.629790850628,0.7829133337084166
12,68724,68738,SHORT,86903.975103125,87128.5078125,TIME_DECAY_SL,-20.144334697097797,-0.3381519085909199,10063.48545615353,0.6268629164998638
13,69167,69169,SHORT,85500.9042109375,86474.83798779297,SL,-69.27037232478044,-1.0,9994.21508382875,0.7033741914090553
14,69175,69193,SHORT,86555.33390781251,86974.0,TIME_DECAY_SL,-30.90759303267736,-0.5258665273014044,9963.307490796073,0.6225882017433093
15,69215,69222,SHORT,86454.5884359375,87275.90702607892,SL,-59.61782393327151,-1.0,9903.689666862801,0.633936422974335
