coin,entry,exit,pos_usd,raw_ret,pnl,reason
NEAR,1.5249762543212189,1.607,64.93207895528312,0.05378690025261457,3.4470427986940084,TRAILING_EMA20
SOL,12.845080891231245,15.413,43.17466927812289,0.19991459224844266,8.601024135702616,TRAILING_EMA20
NEAR,2.118450357110932,2.157,24.062543019995285,0.018197095230326976,0.4210246067046972,TRAILING_EMA20
SOL,15.534371699505847,22.533,40.534111080835835,0.4505253534468203,18.233270843589658,TRAILING_EMA20
SOL,24.011574255081374,24.175,40.11409216948966,0.006806123712777445,0.24494160941266085,TRAILING_EMA20
SOL,24.219029174133006,22.524972031275862,49.525951795997635,-0.06994735960211285,-3.4988777261687516,SL_WIDE
NEAR,2.4835039495527593,2.356,40.82682317729736,-0.05134034498947382,-2.1246419629708004,TRAILING_EMA20
NEAR,2.4543232820155447,2.435,41.75967495879887,-0.007873160865619955,-0.35801241111778404,TRAILING_EMA20
NEAR,2.4392503392014495,2.439,50.48941703214321,-0.00010262956508655385,-0.04052429883398275,TRAILING_EMA20
SOL,24.17374557775063,24.127,56.83121299292358,-0.0019337333389350952,-0.1496782603515842,TRAILING_EMA20
NEAR,2.5145948921441437,2.479,46.11193979753925,-0.014155318717677279,-0.6850075623827926,TRAILING_EMA20
SOL,24.18000377041265,24.145,61.08412149317644,-0.0014476329592422177,-0.13118627260510168,TRAILING_EMA20
NEAR,2.5076207620499678,2.528,46.56177813633087,0.008126921844981094,0.34581068718187885,TRAILING_EMA20
SOL,24.671785149340735,24.388,60.00877642035303,-0.011502416530581594,-0.7322520853716907,TRAILING_EMA20
SOL,24.644124429254738,23.210938714969025,57.66620981590509,-0.05815527016997191,-3.39396035839338,SL_WIDE
SOL,24.47606796582965,24.321,55.48761315841114,-0.006335493349917676,-0.39038273337880613,TRAILING_EMA20
SOL,24.43823328435624,24.374,54.2174453803237,-0.0026283931251838144,-0.18045697246889839,TRAILING_EMA20
SOL,24.467252189688438,24.459,51.22776986294663,-0.0003372748858131436,-0.05313727913504997,TRAILING_EMA20
SOL,24.485056781128176,24.318,61.194126151199505,-0.006822805543049926,-0.46035151141234004,TRAILING_EMA20
NEAR,2.414658566114279,2.382,47.591606816685925,-0.013525127971543371,-0.6769966973387331,TRAILING_EMA20
SOL,22.571949379218527,22.538,60.52612288415596,-0.0015040517169413459,-0.13340270506262683,TRAILING_EMA20
NEAR,2.370049691726497,2.575,55.457985373189416,0.08647511020083476,4.756914806901604,TRAILING_EMA20
SOL,24.979207465267898,25.065,46.48055463418699,0.0034345579158743256,0.1271037686091451,TRAILING_EMA20
SOL,25.078653277645238,24.983,44.337290556694995,-0.003814131348532257,-0.20014435321096008,TRAILING_EMA20
SOL,25.085686696666514,23.81,44.52764565375523,-0.05085317025967773,-2.2955412976506424,TRAILING_EMA20
SOL,21.40368853158402,21.92,42.42691972593053,0.024122546338407824,0.9937464932765169,TRAILING_EMA20
SOL,22.169352661400854,21.089,41.992471209336664,-0.04873180908353092,-2.0757638197655988,TRAILING_EMA20
NEAR,1.9693931719089388,1.9084503147660816,106.44237223076378,-0.03094499260591277,-3.368368082198334,SL_WIDE
SOL,20.892789863507485,20.335,97.56658218977906,-0.026697720464883945,-2.673101945549691,TRAILING_EMA20
SOL,20.820783341978554,20.816,84.20945767465797,-0.00022973880953414128,-0.07829280092995215,TRAILING_EMA20
NEAR,1.988402679284415,1.979,61.31087249781897,-0.004728760116033737,-0.33284201929538937,TRAILING_EMA20
NEAR,1.9928895861717084,1.987,72.8755612452305,-0.002955299788094168,-0.2663820235769346,TRAILING_EMA20
SOL,23.753665969736776,24.053,56.44653133298877,0.012601592977041554,0.6718036408910552,TRAILING_EMA20
NEAR,2.1570805658162753,2.265,67.21597565142689,0.05003032148819453,3.3157856880275443,TRAILING_EMA20
NEAR,2.2691960620210496,2.251,61.14078319386884,-0.00801872624652955,-0.533069751165757,TRAILING_EMA20
SOL,24.084815220452406,24.435,66.71497598487078,0.014539649830911827,0.9233119061083035,TRAILING_EMA20
SOL,24.697312129016836,24.624,60.99904946769011,-0.002968425415440401,-0.22377046338498066,TRAILING_EMA20
SOL,24.700639444220545,23.384839444220546,61.11117162443519,-0.05326987598727406,-3.2981623540077885,SL_WIDE
NEAR,2.308860588640332,2.191732017211761,64.17075662625103,-0.05073003194945924,-3.300304063509064,SL_WIDE
SOL,22.97282361906594,22.080923619065942,81.30013861571625,-0.03882413475981161,-3.213317634638933,SL_WIDE
SOL,22.244903075515538,21.971,91.66003154298036,-0.01231307120492764,-1.1927785171147167,TRAILING_EMA20
SOL,20.658505508519806,20.613,87.29668396416047,-0.0022027492986382846,-0.25340038815041477,TRAILING_EMA20
SOL,20.978176090504494,20.478547519075924,129.5951848161747,-0.023816587737325756,-3.1772317188806936,SL_WIDE
NEAR,1.3916970309737136,1.372,57.40580587190753,-0.014153246385768536,-0.8526625785890407,TRAILING_EMA20
SOL,16.931401445977624,16.813,61.283768733423976,-0.00699300919391721,-0.47145659630412673,TRAILING_EMA20
NEAR,1.3902780684387996,1.455,60.708140432205234,0.046553227753840076,2.783664189750014,TRAILING_EMA20
NEAR,1.4612451613185684,1.443,37.28419761076579,-0.012486037115157722,-0.4916308135044325,TRAILING_EMA20
SOL,16.717474655110372,16.393,66.21853376903816,-0.01940931042543459,-1.3316090514787113,TRAILING_EMA20
NEAR,1.4366073205121135,1.421,60.633362152706354,-0.010864012934689637,-0.7011649842076173,TRAILING_EMA20
SOL,17.22976440063033,18.695,41.662796507526984,0.0850409538575041,3.513879997815916,TRAILING_EMA20
SOL,19.104518183059184,19.436,68.2605446525764,0.017350964508215494,1.1366039063215085,TRAILING_EMA20
SOL,24.564731605844653,24.384,143.9057391594396,-0.007357361307446575,-1.159500534622768,TRAILING_EMA20
SOL,24.534372987470274,23.987430130327418,137.94730459891355,-0.022292921747875116,-3.171811579973112,SL_WIDE
SOL,18.861861277869803,18.895,86.02935663418121,0.0017569168621274223,0.09092587766463973,TRAILING_EMA20
SOL,18.897972627676165,18.876,90.99129541082388,-0.0011626976136045464,-0.16948926882052798,TRAILING_EMA20
SOL,19.841185640186687,19.588,84.45739285587536,-0.012760610418052765,-1.1368480621573709,TRAILING_EMA20
NEAR,1.1158858583594937,1.113,101.81112808423151,-0.002586159093131979,-0.33456756433602197,TRAILING_EMA20
SOL,22.99375868447651,22.684,41.82716782150751,-0.013471424516846575,-0.5927505515359677,TRAILING_EMA20
SOL,23.258704196165723,23.215,68.82948476089715,-0.0018790469063589832,-0.17751446973887458,TRAILING_EMA20
SOL,23.290854704703428,23.204,81.72463676145567,-0.0037291334218785277,-0.3619693200710459,TRAILING_EMA20
SOL,23.284491039451108,22.972,93.78225159332854,-0.0134205655997226,-1.324258435713285,TRAILING_EMA20
SOL,23.395549655039762,31.739,58.26454341101931,0.35662553211964965,20.737838617275475,TRAILING_EMA20
SOL,31.77338557011258,31.579,47.011240007678644,-0.006117874020180825,-0.3205167119048376,TRAILING_EMA20
SOL,38.79464948968376,38.91,32.86098672567888,0.0029733613225944033,0.07470489624444646,TRAILING_EMA20
SOL,39.22129796815668,39.19,26.167258800699802,-0.0007979839979311842,-0.03919813495317226,TRAILING_EMA20
SOL,39.25469040424589,40.737,26.850849411131946,0.03776133706543705,0.995128380519253,TRAILING_EMA20
SOL,40.739127510831395,39.939,54.19328039532626,-0.01964027115255873,-1.1023060178875812,TRAILING_EMA20
