coin,entry_time,exit_time,entry,exit,pnl,dur_4h_bars,ret_pct,reason
SOL,2023-01-11 12:00:00+00:00,2023-01-18 08:00:00+00:00,15.547147667874883,22.533,17.352519920852693,42,44.933337492895916,TRAILING_EMA20
SOL,2023-01-11 16:00:00+00:00,2023-01-18 08:00:00+00:00,15.534371699505847,22.533,17.197299751127332,41,45.052535344682035,TRAILING_EMA20
ETH,2023-01-18 12:00:00+00:00,2023-01-18 16:00:00+00:00,1556.2554378917332,1542.16,-0.9542082750921791,2,-0.9057277840473499,TRAILING_EMA20
ETH,2023-01-20 08:00:00+00:00,2023-01-24 12:00:00+00:00,1545.6127504186552,1620.92,4.962099303278186,26,4.872323262146128,TRAILING_EMA20
NEAR,2023-01-24 16:00:00+00:00,2023-01-24 20:00:00+00:00,2.4835039495527593,2.356,-2.1946552913939263,2,-5.134034498947382,TRAILING_EMA20
NEAR,2023-01-24 20:00:00+00:00,2023-01-25 00:00:00+00:00,2.4852654781667822,2.2939511924524965,-3.6109049558706885,2,-7.6979416241441445,SL_WIDE
NEAR,2023-01-25 12:00:00+00:00,2023-01-25 16:00:00+00:00,2.4543232820155447,2.435,-0.3698151920957981,2,-0.7873160865619955,TRAILING_EMA20
NEAR,2023-01-25 20:00:00+00:00,2023-01-27 00:00:00+00:00,2.4392503392014495,2.439,-0.041860284427140675,8,-0.010262956508655385,TRAILING_EMA20
NEAR,2023-01-28 12:00:00+00:00,2023-01-28 16:00:00+00:00,2.5145948921441437,2.479,-0.707590562234235,2,-1.4155318717677279,TRAILING_EMA20
SOL,2023-01-28 16:00:00+00:00,2023-01-28 20:00:00+00:00,24.185583114666613,24.002,-0.5152809960345694,2,-0.7590601136066355,TRAILING_EMA20
NEAR,2023-01-29 00:00:00+00:00,2023-01-30 00:00:00+00:00,2.5076207620499678,2.528,0.3566546338487187,7,0.8126921844981094,TRAILING_EMA20
SOL,2023-01-30 08:00:00+00:00,2023-01-30 12:00:00+00:00,24.671785149340735,24.388,-0.7556557699348672,2,-1.1502416530581594,TRAILING_EMA20
