coin,entry_time,exit_time,entry,exit,pnl,dur_4h_bars,ret_pct,reason
SOL,2023-01-06 12:00:00+00:00,2023-01-08 00:00:00+00:00,12.845080891231245,12.866917528746335,0.0431746692781148,10,0.16999999999998128,BE_SHIELD
NEAR,2023-01-08 00:00:00+00:00,2023-01-11 00:00:00+00:00,1.5249762543212189,1.607,3.4470427986940084,19,5.378690025261457,TRAILING_EMA20
SOL,2023-01-11 12:00:00+00:00,2023-01-12 12:00:00+00:00,15.547147667874883,15.573577818910268,0.03935360418593594,7,0.16999999999998128,BE_SHIELD
NEAR,2023-01-16 12:00:00+00:00,2023-01-17 20:00:00+00:00,2.118450357110932,2.157,0.4041110058312492,9,1.8197095230326976,TRAILING_EMA20
SOL,2023-01-22 20:00:00+00:00,2023-01-23 12:00:00+00:00,24.011574255081374,24.175,0.21652073167044142,5,0.6806123712777445,TRAILING_EMA20
SOL,2023-01-23 16:00:00+00:00,2023-01-24 20:00:00+00:00,24.219029174133006,22.524972031275862,-3.092898618213741,8,-6.994735960211285,SL_WIDE
NEAR,2023-01-24 16:00:00+00:00,2023-01-24 20:00:00+00:00,2.4835039495527593,2.356,-1.8781171294793582,2,-5.134034498947382,TRAILING_EMA20
NEAR,2023-01-25 12:00:00+00:00,2023-01-25 16:00:00+00:00,2.4543232820155447,2.435,-0.31647178847317015,2,-0.7873160865619955,TRAILING_EMA20
NEAR,2023-01-25 20:00:00+00:00,2023-01-25 20:00:00+00:00,2.4392503392014495,2.4433970647780914,0.0446310675577956,1,0.16999999999998128,BE_SHIELD
SOL,2023-01-28 12:00:00+00:00,2023-01-28 16:00:00+00:00,24.17374557775063,24.127,-0.13236444503146474,2,-0.19337333389350952,TRAILING_EMA20
NEAR,2023-01-28 12:00:00+00:00,2023-01-28 16:00:00+00:00,2.5145948921441437,2.479,-0.6057703077532806,2,-1.4155318717677279,TRAILING_EMA20
SOL,2023-01-29 00:00:00+00:00,2023-01-29 04:00:00+00:00,24.18000377041265,24.145,-0.11601149110320311,2,-0.14476329592422177,TRAILING_EMA20
NEAR,2023-01-29 00:00:00+00:00,2023-01-30 00:00:00+00:00,2.5076207620499678,2.528,0.30580953832080254,7,0.8126921844981094,TRAILING_EMA20
SOL,2023-01-30 08:00:00+00:00,2023-01-30 12:00:00+00:00,24.671785149340735,24.388,-0.6475498891802207,2,-1.1502416530581594,TRAILING_EMA20
SOL,2023-01-30 16:00:00+00:00,2023-01-30 16:00:00+00:00,24.644124429254738,23.210938714969025,-3.001368924533844,1,-5.815527016997191,SL_WIDE
SOL,2023-02-02 20:00:00+00:00,2023-02-03 00:00:00+00:00,24.47606796582965,24.321,-0.3452257778262255,2,-0.6335493349917676,TRAILING_EMA20
SOL,2023-02-03 12:00:00+00:00,2023-02-03 16:00:00+00:00,24.43823328435624,24.374,-0.1595828743385795,2,-0.26283931251838144,TRAILING_EMA20
SOL,2023-02-03 20:00:00+00:00,2023-02-04 00:00:00+00:00,24.467252189688438,24.459,-0.046990701566625194,2,-0.03372748858131436,TRAILING_EMA20
SOL,2023-02-04 04:00:00+00:00,2023-02-04 20:00:00+00:00,24.485056781128176,24.318,-0.4071010191083202,5,-0.6822805543049926,TRAILING_EMA20
NEAR,2023-02-03 04:00:00+00:00,2023-02-05 12:00:00+00:00,2.414658566114279,2.418763485676673,0.04208651683716909,15,0.16999999999998128,BE_SHIELD
NEAR,2023-02-16 20:00:00+00:00,2023-02-16 20:00:00+00:00,2.370049691726497,2.3740787762024316,0.04920566076398988,1,0.16999999999998128,BE_SHIELD
SOL,2023-02-16 20:00:00+00:00,2023-02-16 20:00:00+00:00,22.571949379218527,22.610321693163193,0.053702417243543354,1,0.16999999999998128,BE_SHIELD
NEAR,2023-02-19 20:00:00+00:00,2023-02-19 20:00:00+00:00,2.5137887063862197,2.518062147187076,0.04684099782015738,1,0.16999999999998128,BE_SHIELD
NEAR,2023-02-20 00:00:00+00:00,2023-02-21 08:00:00+00:00,2.523876922914797,2.575,0.8315494798595139,9,2.025577262545819,TRAILING_EMA20
SOL,2023-02-21 08:00:00+00:00,2023-02-21 08:00:00+00:00,24.979207465267898,25.021672117958847,0.04129743483308695,1,0.16999999999998128,BE_SHIELD
SOL,2023-02-21 12:00:00+00:00,2023-02-21 20:00:00+00:00,25.080090464765785,24.983,-0.17555384598840817,3,-0.3871216688878576,TRAILING_EMA20
SOL,2023-02-22 00:00:00+00:00,2023-02-22 04:00:00+00:00,25.085686696666514,23.81,-2.0038958509949603,2,-5.085317025967773,TRAILING_EMA20
SOL,2023-03-20 04:00:00+00:00,2023-03-20 04:00:00+00:00,21.40368853158402,21.440074802087707,0.03703663641176258,1,0.16999999999998128,BE_SHIELD
SOL,2023-03-20 16:00:00+00:00,2023-03-20 16:00:00+00:00,21.86789716425168,21.905072589430905,0.03885535247668847,1,0.16999999999998128,BE_SHIELD
SOL,2023-03-22 00:00:00+00:00,2023-03-22 16:00:00+00:00,22.169352661400854,21.089,-1.8046279746923837,5,-4.873180908353092,TRAILING_EMA20
NEAR,2023-04-02 12:00:00+00:00,2023-04-02 12:00:00+00:00,1.9693931719089388,1.9084503147660816,-2.9283925330592124,1,-3.094499260591277,SL_WIDE
SOL,2023-04-02 12:00:00+00:00,2023-04-02 16:00:00+00:00,20.892789863507485,20.335,-2.3239419168064814,2,-2.6697720464883945,TRAILING_EMA20
SOL,2023-04-05 12:00:00+00:00,2023-04-06 00:00:00+00:00,20.820783341978554,20.816,-0.0680662113048913,4,-0.022973880953414128,TRAILING_EMA20
NEAR,2023-04-06 00:00:00+00:00,2023-04-06 04:00:00+00:00,1.988402679284415,1.979,-0.28936626289275513,2,-0.47287601160337367,TRAILING_EMA20
NEAR,2023-04-06 16:00:00+00:00,2023-04-06 20:00:00+00:00,1.9928895861717084,1.987,-0.2315872582056983,2,-0.2955299788094168,TRAILING_EMA20
SOL,2023-04-14 16:00:00+00:00,2023-04-14 16:00:00+00:00,23.753665969736776,23.794047201885324,0.04907349696910389,1,0.16999999999998128,BE_SHIELD
SOL,2023-04-15 16:00:00+00:00,2023-04-15 20:00:00+00:00,24.02737926265763,24.057,0.02848181253544781,2,0.1232791018053625,TRAILING_EMA20
NEAR,2023-04-14 16:00:00+00:00,2023-04-17 04:00:00+00:00,2.1570805658162753,2.265,2.8826784404474504,16,5.003032148819453,TRAILING_EMA20
NEAR,2023-04-17 08:00:00+00:00,2023-04-17 12:00:00+00:00,2.2691960620210496,2.251,-0.4621952487324136,2,-0.8018726246529551,TRAILING_EMA20
SOL,2023-04-16 08:00:00+00:00,2023-04-18 00:00:00+00:00,24.084815220452406,24.12575940632717,0.057842440125432985,11,0.16999999999998128,BE_SHIELD
SOL,2023-04-18 16:00:00+00:00,2023-04-19 00:00:00+00:00,24.697312129016836,24.624,-0.19325396804446174,3,-0.2968425415440401,TRAILING_EMA20
SOL,2023-04-19 04:00:00+00:00,2023-04-19 08:00:00+00:00,24.700639444220545,23.384839444220546,-2.848378434424106,2,-5.326987598727406,SL_WIDE
NEAR,2023-04-19 08:00:00+00:00,2023-04-19 08:00:00+00:00,2.308860588640332,2.191732017211761,-2.850228070221695,1,-5.073003194945924,SL_WIDE
SOL,2023-04-30 20:00:00+00:00,2023-05-01 00:00:00+00:00,22.97282361906594,22.080923619065942,-2.775104337219234,2,-3.8824134759811613,SL_WIDE
SOL,2023-05-06 12:00:00+00:00,2023-05-06 16:00:00+00:00,22.244903075515538,21.971,-1.0301144214642564,2,-1.231307120492764,TRAILING_EMA20
SOL,2023-05-31 04:00:00+00:00,2023-05-31 08:00:00+00:00,20.658505508519806,20.613,-0.21884313851477383,2,-0.22027492986382846,TRAILING_EMA20
SOL,2023-06-03 20:00:00+00:00,2023-06-05 12:00:00+00:00,20.978176090504494,21.013838989858346,0.11192175824424484,11,0.16999999999998128,BE_SHIELD
NEAR,2023-06-25 20:00:00+00:00,2023-06-26 00:00:00+00:00,1.3916970309737136,1.372,-0.7484012359652475,2,-1.4153246385768536,TRAILING_EMA20
NEAR,2023-06-26 04:00:00+00:00,2023-06-26 04:00:00+00:00,1.3902780684387996,1.3926415411551454,0.05328490832538768,1,0.16999999999998128,BE_SHIELD
SOL,2023-06-26 00:00:00+00:00,2023-06-26 12:00:00+00:00,16.931401445977624,16.813,-0.4138081208651652,4,-0.699300919391721,TRAILING_EMA20
NEAR,2023-06-27 12:00:00+00:00,2023-06-28 00:00:00+00:00,1.458629130585841,1.443,-0.379294274817967,4,-1.0714944778021596,TRAILING_EMA20
SOL,2023-06-27 20:00:00+00:00,2023-06-28 00:00:00+00:00,16.717474655110372,16.393,-1.1531864979243378,2,-1.940931042543459,TRAILING_EMA20
SOL,2023-06-30 12:00:00+00:00,2023-06-30 12:00:00+00:00,17.22976440063033,17.2590550001114,0.03608996265269533,1,0.16999999999998128,BE_SHIELD
NEAR,2023-07-03 16:00:00+00:00,2023-07-04 04:00:00+00:00,1.4366073205121135,1.421,-0.6075019816296127,4,-1.0864012934689637,TRAILING_EMA20
SOL,2023-07-03 20:00:00+00:00,2023-07-05 08:00:00+00:00,18.85750092409237,18.889558675663324,0.061973584466934614,10,0.16999999999998128,BE_SHIELD
SOL,2023-07-06 12:00:00+00:00,2023-07-06 12:00:00+00:00,19.104518183059184,19.13699586397038,0.05814924468921321,1,0.16999999999998128,BE_SHIELD
SOL,2023-08-13 20:00:00+00:00,2023-08-14 00:00:00+00:00,24.564731605844653,24.384,-0.9826277978437238,2,-0.7357361307446575,TRAILING_EMA20
SOL,2023-08-14 16:00:00+00:00,2023-08-14 16:00:00+00:00,24.534372987470274,24.57608142154897,0.11690452232571202,1,0.16999999999998128,BE_SHIELD
SOL,2023-08-15 12:00:00+00:00,2023-08-15 16:00:00+00:00,24.6749786256761,23.989564339961817,-2.673616110165401,2,-2.777770534727275,SL_WIDE
SOL,2023-09-17 00:00:00+00:00,2023-09-17 04:00:00+00:00,18.861861277869803,18.895,0.07711497774920244,2,0.17569168621274223,TRAILING_EMA20
SOL,2023-09-17 08:00:00+00:00,2023-09-17 16:00:00+00:00,18.897972627676165,18.876,-0.14374522995565736,3,-0.11626976136045464,TRAILING_EMA20
SOL,2023-09-21 04:00:00+00:00,2023-09-21 08:00:00+00:00,19.841185640186687,19.588,-0.9641701050259192,2,-1.2760610418052765,TRAILING_EMA20
NEAR,2023-09-21 08:00:00+00:00,2023-09-22 08:00:00+00:00,1.1158858583594937,1.113,-0.2837494775088726,7,-0.2586159093131979,TRAILING_EMA20
SOL,2023-10-04 00:00:00+00:00,2023-10-04 12:00:00+00:00,22.99375868447651,22.684,-0.5027165727353745,4,-1.3471424516846575,TRAILING_EMA20
SOL,2023-10-07 16:00:00+00:00,2023-10-08 08:00:00+00:00,23.258704196165723,23.215,-0.1505514682471778,5,-0.18790469063589832,TRAILING_EMA20
SOL,2023-10-08 16:00:00+00:00,2023-10-08 20:00:00+00:00,23.290854704703428,23.204,-0.30698912982863463,2,-0.37291334218785277,TRAILING_EMA20
SOL,2023-10-09 00:00:00+00:00,2023-10-09 04:00:00+00:00,23.284491039451108,22.972,-1.1231143699362631,2,-1.34205655997226,TRAILING_EMA20
SOL,2023-10-18 20:00:00+00:00,2023-10-27 20:00:00+00:00,23.395549655039762,31.739,17.587929911834806,55,35.66255321196496,TRAILING_EMA20
SOL,2023-10-28 00:00:00+00:00,2023-10-28 16:00:00+00:00,31.77338557011258,31.579,-0.2718328350698028,5,-0.6117874020180825,TRAILING_EMA20
NEAR,2023-10-31 12:00:00+00:00,2023-10-31 12:00:00+00:00,1.262778392386247,1.2649251156533035,0.06240352638027102,1,0.16999999999998128,BE_SHIELD
NEAR,2023-10-31 16:00:00+00:00,2023-10-31 16:00:00+00:00,1.2635614026351758,1.2657094570196554,0.055480588982159545,1,0.16999999999998128,BE_SHIELD
SOL,2023-11-02 16:00:00+00:00,2023-11-02 16:00:00+00:00,38.79464948968376,38.86060039381622,0.02788741946796882,1,0.16999999999998128,BE_SHIELD
SOL,2023-11-03 00:00:00+00:00,2023-11-03 04:00:00+00:00,39.14912577273433,39.056,-0.0743615621491135,2,-0.23787446308491944,TRAILING_EMA20
SOL,2023-11-03 08:00:00+00:00,2023-11-03 16:00:00+00:00,39.20555530452271,39.19,-0.025111444328474865,3,-0.0396762764916625,TRAILING_EMA20
SOL,2023-11-03 20:00:00+00:00,2023-11-05 12:00:00+00:00,39.25469040424589,40.737,0.8440502709395094,11,3.776133706543705,TRAILING_EMA20
SOL,2023-11-05 16:00:00+00:00,2023-11-06 04:00:00+00:00,40.739127510831395,39.939,-0.9349564450878043,4,-1.964027115255873,TRAILING_EMA20
SOL,2023-11-06 08:00:00+00:00,2023-11-06 12:00:00+00:00,40.73251737876223,40.248,-0.5913446506011072,2,-1.1895100277177106,TRAILING_EMA20
SOL,2023-11-06 20:00:00+00:00,2023-11-06 20:00:00+00:00,40.652809010732796,40.721918786051035,0.052179987771592155,1,0.16999999999998128,BE_SHIELD
NEAR,2023-11-06 16:00:00+00:00,2023-11-07 00:00:00+00:00,1.561872221508194,1.549,-0.37758366373768515,3,-0.8241533033838233,TRAILING_EMA20
SOL,2023-11-07 00:00:00+00:00,2023-11-07 00:00:00+00:00,40.78578696796947,40.855122805815014,0.05240611230243563,1,0.16999999999998128,BE_SHIELD
SOL,2023-11-09 16:00:00+00:00,2023-11-09 16:00:00+00:00,42.959323192828265,43.03235404225607,0.04254644796612886,1,0.16999999999998128,BE_SHIELD
SOL,2023-11-09 20:00:00+00:00,2023-11-13 16:00:00+00:00,43.39910583358504,54.712,8.484455751320459,24,26.067113478776594,TRAILING_EMA20
NEAR,2023-11-11 04:00:00+00:00,2023-11-13 20:00:00+00:00,1.487496005581205,1.591,2.1237976030217474,17,6.958270410840739,TRAILING_EMA20
SOL,2023-11-14 08:00:00+00:00,2023-11-16 20:00:00+00:00,54.943818413576714,57.842,1.2982772730226044,16,5.274809196200936,TRAILING_EMA20
NEAR,2023-11-16 16:00:00+00:00,2023-11-18 00:00:00+00:00,1.6731848945970353,1.754,1.7663113666368442,9,4.830016435358031,TRAILING_EMA20
SOL,2023-11-20 04:00:00+00:00,2023-11-20 12:00:00+00:00,59.30578480857409,59.008,-0.24405072761362473,3,-0.5021176425457852,TRAILING_EMA20
NEAR,2023-11-18 12:00:00+00:00,2023-11-21 04:00:00+00:00,1.754633581010686,1.907,2.317210426032675,17,8.683660260368974,TRAILING_EMA20
